name,neighbors
Anhui,"Jiangsu, Henan, Hubei, Jiangxi, Zhejiang"
Beijing,"Hebei, Tianjin"
Chongqing,"Shaanxi, Sichuan, Yunnan, Guizhou, Hunan, Hubei"
Fujian,"Guangdong, Jiangxi, Zhejiang"
Guangdong,"Guangxi, Hunan, Jiangxi, Fujian"
Gansu,"Xinjiang, Qinghai, Neimongol, Ningxia, Shaanxi, Sichuan"
Guangxi,"Yunnan, Guizhou, Hunan, Guangdong"
Guizhou,"Yunnan, Guangxi, Hunan, Chongqing"
Henan,"Shaanxi, Hubei, Anhui, Shandong, Hebei, Shanxi"
Hubei,"Henan, Shaanxi, Chongqing, Hunan, Jiangxi, Anhui"
Hebei,"Beijing, Tianjin, Liaoning, Neimongol, Shanxi, Henan, Shandong"
Heilongjiang,"Neimongol, Jilin"
Hunan,"Hubei, Chongqing, Guizhou, Guangxi, Guangdong, Jiangxi"
Jilin,"Heilongjiang, Neimongol, Liaoning"
Jiangsu,"Shandong, Anhui, Shanghai, Zhejiang"
Jiangxi,"Fujian, Zhejiang, Anhui, Hubei, Hunan, Guangdong"
Liaoning,"Jilin, Neimongol, Hebei"
Neimongol,"Gansu, Ningxia, Shaanxi, Shanxi, Hebei, Liaoning, Jilin, Heilongjiang"
Ningxia,"Neimongol, Shaanxi, Gansu"
Qinghai,"Gansu, Xinjiang, Tibet, Sichuan"
Sichuan,"Qinghai, Tibet, Yunnan, Chongqing, Gansu, Shaanxi"
Shandong,"Hebei, Jiangsu, Henan"
Shanghai,"Jiangsu, Zhejiang"
Shaanxi,"Ningxia, Gansu, Neimongol, Shanxi, Henan, Hubei, Chongqing, Sichuan"
Shanxi,"Shaanxi, Neimongol, Hebei, Henan"
Tianjin,"Beijing, Hebei"
Xinjiang,"Gansu, Qinghai, Tibet"
Yunnan,"Tibet, Sichuan, Chongqing, Guizhou, Guangxi"
Zhejiang,"Shanghai, Jiangsu, Anhui, Jiangxi, Fujian"
Tibet,"Xinjiang, Qinghai, Sichuan, Yunnan"
Hainan,
Macau,
Hong Kong,
Taiwan,
