name;neighbors
Noord-Holland;Zuid-Holland, Utrecht, Flevoland, Friesland
Zuid-Holland;Noord-Holland, Zeeland, Utrecht, Gelderland, Noord-Brabant
Zeeland;Zuid-Holland, Noord-Brabant
Groningen;Friesland, Drenthe
Friesland;Flevoland, Overijssel, Drenthe, Groningen, Noord-Holland
Drenthe;Groningen, Friesland, Overijssel
Gelderland;Overijssel, Flevoland, Utrecht, Limburg, Noord-Brabant, Zuid-Holland
Utrecht;Noord-Holland, Zuid-Holland, Gelderland, Flevoland
Noord-Brabant;Zeeland, Zuid-Holland, Gelderland, Limburg
Limburg;Gelderland, Noord-Brabant
Flevoland;Noord-Holland, Utrecht, Gelderland, Overijssel, Friesland
Overijssel;Drenthe, Friesland, Flevoland, Gelderland
