oblast,neighbors
cherkasy oblast,"kiev oblast, kirovohrad oblast, poltava oblast, vinnytsia oblast"
chernihiv oblast,"kiev oblast, sumy oblast, poltava oblast"
chernivtsi oblast,"ivano-frankivsk oblast, ternopil oblast, khmnelnytskyi oblast, vinnytsia oblast"
dnipropetrovsk oblast,"poltava oblast, kharkiv oblast, donetsk oblast, zaporizhia oblast, kherson oblast, mykolaiv oblast, kirovohrad oblast"
donetsk oblast,"luhansk oblast, kharkiv oblast, dnipropetrovsk oblast, zaporizhia oblast"
ivano-frankivsk oblast,"ternopil oblast, chernivtsi oblast, zakarpattia oblast, lviv oblast"
kharkiv oblast,"luhansk oblast, donetsk oblast, dnipropetrovsk oblast, poltava oblast, sumy oblast"
kherson oblast,"zaporizhia oblast, dnipropetrovsk oblast, mykolaiv oblast"
khmnelnytskyi oblast,"rivne oblast, zhytomyr oblast, vinnytsia oblast, chernivtsi oblast, ternopil oblast"
kiev oblast,"zhytomyr oblast, vinnytsia oblast, cherkasy oblast, poltava oblast, chernihiv oblast"
kirovohrad oblast,"dnipropetrovsk oblast, mykolaiv oblast, odessa oblast, vinnytsia oblast, cherkasy oblast, poltava oblast"
luhansk oblast,"donetsk oblast, kharkiv oblast"
lviv oblast,"volyn oblast, rivne oblast, ternopil oblast, ivano-frankivsk oblast, zakkarpattia oblast"
mykolaiv oblast,"odessa oblast, kirovohrad oblast, dnipropetrovsk oblast, kherson oblast"
odessa oblast,"mykolaiv oblast, kirovohrad oblast, vinnytsia oblast"
poltava oblast,"sumy oblast, kharkiv oblast, dnipropetrovsk oblast, kirovohrad oblast, cherkasy oblast, kiev oblast, chernihiv oblast"
rivne oblast,"volyn oblast, lviv oblast, ternopil oblast, khmnelnytskyi oblast, zhytomyr oblast"
sumy oblast,"chernihiv oblast, poltava oblast, kharkiv oblast"
ternopil oblast,"chernivtsi oblast, ivano-frankivsk oblast, lviv oblast, rivne oblast, khmnelnytskyi oblast"
vinnytsia oblast,"chernivtsi oblast, khmnelnytskyi oblast, zhytomyr oblast, kiev oblast, cherkasy oblast, kirovohrad oblast, odessa oblast"
volyn oblast,"rivne oblast, lviv oblast"
zakarpattia oblast,"ivano-frankivsk oblast,  lviv oblast"
zaporizhia oblast,"donetsk oblast, dnipropetrovsk oblast, kherson oblast"
zhytomyr oblast,"rivne oblast, khmnelnytskyi, vinnytsia oblast, kiev oblast"
